id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10379027,Pool & Full Gym | Furnished 2BR w W/D | nr NYC,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2019-11-04,0.01,37,338,0,
10382107,Homey 1BR with Beautiful Views,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2019-08-22,0.02,37,355,0,
10383764,Perfect for Families! Petfriendly 2BR nr Hudson R.,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2019-08-31,0.02,37,338,0,
10384214,Private 2BR | Work from home | Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,11,2021-12-03,0.10,37,360,0,
10384889,Spacious 2BR Apt | Full Kitchen | Laundry | Gym,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2018-12-31,0.01,37,338,0,
10385587,Plush 2BR in Jersey City,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2020-01-26,0.02,37,338,0,
10385819,Spacious 2BR | Work Desk + W/D| Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,25,2022-01-08,0.25,37,338,0,
10429121,Spacious 1BR | Gym |  Downtown JC Newport | by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,3,2019-12-20,0.03,37,355,0,
10430238,Comfort 1BR in Jersey City + Nice Views,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,4,2020-02-16,0.06,37,364,0,
10492376,1 Bedroom near to Grove street PATH,37412692,Kim,,Ward E (councilmember James Solomon),40.71833,-74.03983,Entire home/apt,124,365,2,2019-05-16,0.02,11,365,0,
10631390,"Yard! Laundry Large, Bonus Sleep Area",191464699,"Vikki,Louise",,Ward E (councilmember James Solomon),40.72678,-74.04674,Entire home/apt,102,30,73,2020-02-18,0.65,5,364,0,
10753012,"Warm, Snug, Cozy space 
3 blocks PATH train $50",55599663,Lorraine,,Ward E (councilmember James Solomon),40.71884,-74.04698,Private room,50,30,39,2025-05-14,0.35,3,193,2,
10989968,Lux 1BR Downtown Jersey City,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,1,2020-03-24,0.02,37,365,0,
10991109,Spacious & Private 2BR | Downtown Jersey City,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,5,2020-10-27,0.06,37,360,0,
11100868,Departamento 2 Ambientes Palermo,57650710,Carito,,Ward A (councilmember Denise Ridley),40.71075,-74.09171,Entire home/apt,120,28,0,,,1,364,0,
11121401,"Super clean, sunny, and close to NYC No parties!!",30560014,Mohamed,,Ward A (councilmember Denise Ridley),40.69662,-74.10459,Entire home/apt,209,28,34,2024-11-01,0.31,2,365,3,
11144719,"Pool, Gym & More! 1BR ✰ Steps to PATH, Ferry",30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.724545,-74.03591,Entire home/apt,,28,2,2021-02-14,0.03,37,355,0,
11497428,Spacious Apt 10 Min from Manhattan,4318265,Robert,,Ward E (councilmember James Solomon),40.71871,-74.04462,Entire home/apt,178,5,257,2025-06-15,2.32,2,103,37,str-005742-2024
12325106,Pinkie Room (female only),49357921,Ying,,Ward A (councilmember Denise Ridley),40.69414,-74.08883,Private room,46,30,33,2025-05-06,0.30,11,182,2,
13102351,301 private room and Bath - 10 mins to Manhattan.,189095873,M,,Ward C (councilmember Richard Boggiano),40.73327073805876,-74.06638119471327,Private room,100,5,20,2019-12-08,0.19,5,176,0,Exempt
13276390,"Bright, Cozy & Clean “JC Heights”, 5.5 miles to NY",74823357,Patricia,,Ward D (councilmember Michael Yun),40.74941,-74.04816,Entire home/apt,115,4,389,2025-06-08,3.60,1,122,45,STR-005366-2024
13545641,Luxury 1BR Apartment in Jersey City near PATH,9419684,Churchill,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,11,2025-06-06,0.10,14,330,1,
13546158,Furnished One Bedroom Apartment JC Newport,9419684,Churchill,,Ward E (councilmember James Solomon),40.721886,-74.036446,Entire home/apt,,28,5,2025-01-17,0.05,14,330,1,
